driver,qualifying_time,qualifying_seconds
Lewis Hamilton,1:41.252,101.252
Valtteri Bottas,1:41.763,101.763
Max Verstappen,1:41.778,101.778
Daniel Ricciardo,1:42.061,102.061
Alex Albon,1:42.264,102.264
Estaban Ocon,1:42.396,102.396
Carlos Sainz,1:42.438,102.438
Sergio Perez,1:42.532,102.532
Lance Stroll,1:42.603,102.603
Lando Norris,1:42.657,102.657
Daniil Kvyat,1:42.730,102.73
Pierre Gasly,1:42.745,102.745
Charles Leclerc,1:42.996,102.996
Sebastian Vettel,1:43.261,103.261
George Russell,1:43.468,103.468
Kimi Raikkonen,1:43.743,103.743
Romain Grosjean,1:43.838,103.838
Antonio Giovinazzi,1:43.950,103.95
Nicholas Latifi,1:44.138,104.138
Kevin Magnussen,1:44.314,104.314
